candidate,S,scenario,replicate,seed,C1,C2,c_min,max_gap_s,avg_multiplicity,strict_double_time_rate
single_S1302,1302,monte_carlo,0,20260712,0.9990000623928966,0.7872136725054926,0,2643.9152534524474,2.4919928825947064,0.0
single_S1302,1302,monte_carlo,1,20260712,0.9981896456815739,0.7874438278271749,0,1378.0824162182325,2.472877118115423,0.0
single_S1302,1302,monte_carlo,2,20260712,0.9991885362718046,0.7890556073074517,0,4243.08455084727,2.548139792148485,0.0
single_S1302,1302,monte_carlo,3,20260712,0.9994024768462694,0.7726092167593602,0,3019.7747569366365,2.4071726649703007,0.0
single_S1302,1302,monte_carlo,4,20260712,0.9998014322514482,0.7609172874548621,0,2618.0657825911258,2.4121045785276136,0.0
single_S1302,1302,monte_carlo,5,20260712,0.9993925082875386,0.7907994463926366,0,2749.111718050641,2.5335294514070106,0.0
single_S1302,1302,monte_carlo,6,20260712,0.9996012005252558,0.7722692339685917,0,2880.0837775844057,2.3777490382345583,0.0
single_S1302,1302,monte_carlo,7,20260712,0.9988197114784629,0.777545753534295,0,2559.3815951108973,2.3474482509984695,0.0
single_S1302,1302,monte_carlo,8,20260712,0.9991979226581055,0.7853053380524954,0,2192.6703116874633,2.3077618288182635,0.0
single_S1302,1302,monte_carlo,9,20260712,0.9998022870523376,0.7505385207803554,0,2159.2090704102648,2.3191486846543774,0.0
single_S1302,1302,monte_carlo,10,20260712,0.9987771605122603,0.78688709949808,0,3282.901709404823,2.4704886180654255,0.0
single_S1302,1302,monte_carlo,11,20260712,0.9998021131935322,0.7704714188918692,0,2958.1691542297176,2.3358411602091795,0.0
single_S1302,1302,monte_carlo,12,20260712,0.9994055667040822,0.778048918308719,0,2234.095812933374,2.393645420450007,0.0
single_S1302,1302,monte_carlo,13,20260712,1.0,0.7797320882108382,1,0.0,2.409044203273971,0.0
single_S1302,1302,monte_carlo,14,20260712,0.9998002860059679,0.7749188495240946,0,2285.813130112845,2.381290670825581,0.0
single_S1302,1302,monte_carlo,15,20260712,0.9980111379411628,0.7983633487104681,0,2754.4741852498482,2.4282393727425973,0.0
single_S1302,1302,monte_carlo,16,20260712,0.9997990931259183,0.7761109073423196,0,2341.939003745596,2.3942860023024317,0.0
single_S1302,1302,monte_carlo,17,20260712,0.9988057067735278,0.7606416260494897,0,3796.8913702676728,2.3903363123580106,0.0
single_S1302,1302,monte_carlo,18,20260712,0.9995965992421817,0.7818431973251535,0,2013.7211573158734,2.469500927981254,0.0
single_S1302,1302,monte_carlo,19,20260712,0.9993939069746288,0.783932628620378,0,2045.9573904680492,2.4984893051097106,0.0
single_S1302,1302,monte_carlo,20,20260712,0.9998033094327022,0.7945977980453757,0,2222.839759855684,2.422013946043158,0.0
single_S1302,1302,monte_carlo,21,20260712,0.9992045939159314,0.771954564575252,0,1502.338428286108,2.4519410154905095,0.0
single_S1302,1302,monte_carlo,22,20260712,0.9994018264301981,0.7889043357035982,0,2458.7703128949593,2.413566805340199,0.0
single_S1302,1302,monte_carlo,23,20260712,0.999390166064479,0.775459550022975,0,2393.8858270757846,2.350856713707284,0.0
single_S1302,1302,monte_carlo,24,20260712,0.9989973595251835,0.7762394498245254,0,3207.9315755496355,2.4309747251390235,0.0
single_S1302,1302,monte_carlo,25,20260712,0.9991864430656047,0.794866103498971,0,1995.9808358881492,2.4898518751958174,0.0
single_S1302,1302,monte_carlo,26,20260712,0.9995915739829798,0.7788261719097062,0,2174.0892715324444,2.438408672651859,0.0
single_S1302,1302,monte_carlo,27,20260712,0.9996019988584125,0.7890265366164882,0,2188.808176324481,2.5186825661526817,0.0
single_S1302,1302,monte_carlo,28,20260712,0.999596581945149,0.7787763398811739,0,2333.043670936895,2.4505997627092735,0.0
single_S1302,1302,monte_carlo,29,20260712,0.9997954622322872,0.7680562531345924,0,3082.8107895912544,2.3280537927093135,0.0
double_S1480,1480,monte_carlo,0,20260713,0.9993003586717505,0.9643864840150762,0,2417.121674986134,2.8774278194937786,0.0
double_S1480,1480,monte_carlo,1,20260713,0.9995294511419331,0.9681991711514405,0,2461.137034009251,2.8204769212506577,0.0
double_S1480,1480,monte_carlo,2,20260713,1.0000000000000002,0.9706297160929731,1,0.0,2.8055251418142304,0.0
double_S1480,1480,monte_carlo,3,20260713,0.9997728321578162,0.9669606324235783,0,2573.4515314379823,2.8680646373704306,0.0
double_S1480,1480,monte_carlo,4,20260713,0.9997659350471495,0.9633597964560598,0,2437.3150108454356,2.740274149996671,0.0
double_S1480,1480,monte_carlo,5,20260713,1.0000000000000004,0.968562646014961,1,0.0,2.867793793217906,0.0
double_S1480,1480,monte_carlo,6,20260713,1.0,0.9704030925108752,1,0.0,3.0062561005994177,0.0
double_S1480,1480,monte_carlo,7,20260713,0.9995546254566999,0.9593627490122557,0,2921.616810292414,2.6946087342459464,0.0
double_S1480,1480,monte_carlo,8,20260713,0.9993120589798729,0.9674432961615814,0,2154.3392749866284,2.8778518804400925,0.0
double_S1480,1480,monte_carlo,9,20260713,0.999542659771849,0.9694610036589516,0,1973.0774406856508,2.7946465061922248,0.0
double_S1480,1480,monte_carlo,10,20260713,0.999555784131692,0.9627643583196811,0,3654.501924192904,2.7754972057705274,0.0
double_S1480,1480,monte_carlo,11,20260713,1.0000000000000002,0.9694921845219113,1,0.0,2.8742644709308913,0.0
double_S1480,1480,monte_carlo,12,20260713,0.9997624432523805,0.967451118997375,0,2675.953196656881,2.7873922360746604,0.0
double_S1480,1480,monte_carlo,13,20260713,0.9990767904746566,0.9647544386852118,0,2928.4986487509304,2.770645648613607,0.0
double_S1480,1480,monte_carlo,14,20260713,0.9995418933192292,0.9598110712488493,0,1591.9349871401719,2.8264872537845562,0.0
double_S1480,1480,monte_carlo,15,20260713,0.9999999999999997,0.9628794482683399,1,0.0,2.8259193637396414,0.0
double_S1480,1480,monte_carlo,16,20260713,0.9997747042141372,0.9648227635314589,0,2102.588524737279,2.7586340411450414,0.0
double_S1480,1480,monte_carlo,17,20260713,0.999532102554865,0.9724680356985105,0,2721.956731416678,2.9289496449682417,0.0
double_S1480,1480,monte_carlo,18,20260713,1.0000000000000002,0.9716467648123618,1,0.0,2.8652151664116823,0.0
double_S1480,1480,monte_carlo,19,20260713,0.9995417127758538,0.9687987629701628,0,1658.5167941456311,2.814750957668251,0.0
double_S1480,1480,monte_carlo,20,20260713,0.999536298952259,0.9653625208213094,0,2144.691138489913,2.879053117998927,0.0
double_S1480,1480,monte_carlo,21,20260713,0.9997626913369849,0.9701346123062798,0,2928.1107009444604,2.9016790567091566,0.0
double_S1480,1480,monte_carlo,22,20260713,1.0,0.9693242289088396,1,0.0,2.9370915647382496,0.0
double_S1480,1480,monte_carlo,23,20260713,0.9995525792433915,0.958433952841815,0,2556.5054379919966,2.6775455964129424,0.0
double_S1480,1480,monte_carlo,24,20260713,1.0,0.9669172901112963,1,0.0,2.8238733504461684,0.0
double_S1480,1480,monte_carlo,25,20260713,0.9999999999999999,0.957846131263321,1,0.0,2.764021288916829,0.0
double_S1480,1480,monte_carlo,26,20260713,1.0000000000000002,0.9721958154848074,1,0.0,2.949613935380405,0.08333333333333333
double_S1480,1480,monte_carlo,27,20260713,0.9997637027402559,0.9695470507265127,0,2287.0492439200316,2.904881703640079,0.0
double_S1480,1480,monte_carlo,28,20260713,1.0,0.9719421600888101,1,0.0,2.9750914454572857,0.041666666666666664
double_S1480,1480,monte_carlo,29,20260713,0.9995302794085505,0.9672865138715415,0,2121.727454651231,2.890902528531735,0.0
