t_s,served_flow_gbps_avg,dropped_flow_gbps_avg,served_ratio,max_access_load_gbps_avg,max_access_load_gbps_peak,max_access_utilization_peak_vs_20gbps,max_relay_load_gbps_avg,max_relay_load_gbps_peak,max_isl_load_gbps_avg,max_isl_load_gbps_peak,active_access_satellites,active_relay_satellites,active_isl_links
0.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.15151515151515144,0.22727272727272715,0.15151515151515144,0.22727272727272715,27,107,159
900.0,0.9999999999999992,0.0,0.9999999999999992,0.1363636363636363,0.20454545454545445,0.010227272727272722,0.12121212121212116,0.18181818181818174,0.12121212121212116,0.18181818181818174,27,123,176
1800.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.16666666666666657,0.24999999999999986,0.1363636363636363,0.20454545454545445,22,110,149
2700.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.15151515151515144,0.22727272727272715,0.1363636363636363,0.20454545454545445,24,100,140
3600.0,0.9999999999999992,0.0,0.9999999999999992,0.15151515151515144,0.22727272727272715,0.011363636363636357,0.1363636363636363,0.20454545454545445,0.1363636363636363,0.20454545454545445,27,110,161
4500.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.19696969696969685,0.2954545454545453,0.16666666666666657,0.24999999999999986,26,105,151
5400.0,0.9999999999999992,0.0,0.9999999999999992,0.15151515151515144,0.22727272727272715,0.011363636363636357,0.15151515151515144,0.22727272727272715,0.12121212121212116,0.18181818181818174,26,104,155
6300.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.19696969696969685,0.2954545454545453,0.1363636363636363,0.20454545454545445,28,112,158
7200.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.15151515151515144,0.22727272727272715,0.15151515151515144,0.22727272727272715,27,107,149
8100.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.19696969696969685,0.2954545454545453,0.15151515151515144,0.22727272727272715,24,107,148
9000.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.19696969696969685,0.2954545454545453,0.1363636363636363,0.20454545454545445,28,106,154
9900.0,0.9999999999999992,0.0,0.9999999999999992,0.15151515151515144,0.22727272727272715,0.011363636363636357,0.16666666666666657,0.24999999999999986,0.1363636363636363,0.20454545454545445,28,103,154
10800.0,0.9999999999999992,0.0,0.9999999999999992,0.12121212121212116,0.18181818181818174,0.009090909090909087,0.16666666666666657,0.24999999999999986,0.12121212121212116,0.18181818181818174,30,104,154
11700.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.15151515151515144,0.22727272727272715,0.15151515151515144,0.22727272727272715,26,102,144
12600.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.15151515151515144,0.22727272727272715,0.15151515151515144,0.22727272727272715,26,116,160
13500.0,0.9999999999999992,0.0,0.9999999999999992,0.1363636363636363,0.20454545454545445,0.010227272727272722,0.1363636363636363,0.20454545454545445,0.12121212121212116,0.18181818181818174,27,116,165
14400.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.1818181818181817,0.2727272727272726,0.15151515151515144,0.22727272727272715,26,101,148
15300.0,0.9999999999999992,0.0,0.9999999999999992,0.1363636363636363,0.20454545454545445,0.010227272727272722,0.15151515151515144,0.22727272727272715,0.1363636363636363,0.20454545454545445,27,126,166
16200.0,0.9999999999999992,0.0,0.9999999999999992,0.15151515151515144,0.22727272727272715,0.011363636363636357,0.1363636363636363,0.20454545454545445,0.1363636363636363,0.20454545454545445,26,109,159
17100.0,0.9999999999999992,0.0,0.9999999999999992,0.1363636363636363,0.20454545454545445,0.010227272727272722,0.12121212121212116,0.18181818181818174,0.12121212121212116,0.18181818181818174,26,120,173
18000.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.16666666666666657,0.24999999999999986,0.15151515151515144,0.22727272727272715,25,107,145
18900.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.15151515151515144,0.22727272727272715,0.1363636363636363,0.20454545454545445,26,102,146
19800.0,0.9999999999999992,0.0,0.9999999999999992,0.1363636363636363,0.20454545454545445,0.010227272727272722,0.1363636363636363,0.20454545454545445,0.12121212121212116,0.18181818181818174,28,111,160
20700.0,0.9999999999999992,0.0,0.9999999999999992,0.1363636363636363,0.20454545454545445,0.010227272727272722,0.1363636363636363,0.20454545454545445,0.12121212121212116,0.18181818181818174,28,109,161
21600.0,0.9999999999999992,0.0,0.9999999999999992,0.15151515151515144,0.22727272727272715,0.011363636363636357,0.16666666666666657,0.24999999999999986,0.1363636363636363,0.20454545454545445,28,107,166
22500.0,0.9999999999999992,0.0,0.9999999999999992,0.16666666666666657,0.24999999999999986,0.012499999999999994,0.2575757575757574,0.38636363636363613,0.19696969696969685,0.2954545454545453,24,102,141
