t_s,u,v,max_link_load_gbps_avg,max_link_load_gbps_peak
0.0,315,316,0.15151515151515144,0.22727272727272715
900.0,1345,1346,0.12121212121212116,0.18181818181818174
1800.0,1377,1378,0.1363636363636363,0.20454545454545445
2700.0,1371,1372,0.1363636363636363,0.20454545454545445
3600.0,368,369,0.1363636363636363,0.20454545454545445
4500.0,369,407,0.16666666666666657,0.24999999999999986
5400.0,1431,1432,0.12121212121212116,0.18181818181818174
6300.0,432,433,0.1363636363636363,0.20454545454545445
7200.0,422,423,0.15151515151515144,0.22727272727272715
8100.0,1218,1256,0.15151515151515144,0.22727272727272715
9000.0,452,453,0.1363636363636363,0.20454545454545445
9900.0,29,30,0.1363636363636363,0.20454545454545445
10800.0,443,481,0.12121212121212116,0.18181818181818174
11700.0,509,510,0.15151515151515144,0.22727272727272715
12600.0,503,504,0.15151515151515144,0.22727272727272715
13500.0,535,536,0.12121212121212116,0.18181818181818174
14400.0,116,117,0.15151515151515144,0.22727272727272715
15300.0,566,567,0.1363636363636363,0.20454545454545445
16200.0,596,597,0.1363636363636363,0.20454545454545445
17100.0,137,138,0.12121212121212116,0.18181818181818174
18000.0,169,170,0.15151515151515144,0.22727272727272715
18900.0,163,164,0.1363636363636363,0.20454545454545445
19800.0,649,650,0.12121212121212116,0.18181818181818174
20700.0,643,644,0.12121212121212116,0.18181818181818174
21600.0,223,224,0.1363636363636363,0.20454545454545445
22500.0,716,754,0.19696969696969685,0.2954545454545453
23400.0,703,704,0.15151515151515144,0.22727272727272715
24300.0,244,245,0.12121212121212116,0.18181818181818174
25200.0,733,734,0.1363636363636363,0.20454545454545445
26100.0,76,114,0.15151515151515144,0.22727272727272715
27000.0,760,761,0.12121212121212116,0.18181818181818174
27900.0,790,791,0.15151515151515144,0.22727272727272715
28800.0,784,785,0.15151515151515144,0.22727272727272715
29700.0,820,821,0.1363636363636363,0.20454545454545445
30600.0,397,398,0.15151515151515144,0.22727272727272715
31500.0,847,848,0.12121212121212116,0.18181818181818174
32400.0,877,878,0.1363636363636363,0.20454545454545445
33300.0,418,419,0.12121212121212116,0.18181818181818174
34200.0,907,908,0.1363636363636363,0.20454545454545445
35100.0,897,898,0.1363636363636363,0.20454545454545445
36000.0,930,931,0.10606060606060602,0.15909090909090903
36900.0,924,925,0.12121212121212116,0.18181818181818174
37800.0,504,505,0.1363636363636363,0.20454545454545445
38700.0,997,1035,0.19696969696969685,0.2954545454545453
39600.0,984,985,0.15151515151515144,0.22727272727272715
40500.0,525,526,0.12121212121212116,0.18181818181818174
41400.0,1014,1015,0.15151515151515144,0.22727272727272715
42300.0,591,592,0.15151515151515144,0.22727272727272715
43200.0,1041,1042,0.12121212121212116,0.18181818181818174
44100.0,1071,1072,0.1363636363636363,0.20454545454545445
45000.0,1065,1066,0.15151515151515144,0.22727272727272715
45900.0,1097,1098,0.12121212121212116,0.18181818181818174
46800.0,678,679,0.15151515151515144,0.22727272727272715
47700.0,1203,1204,0.10606060606060602,0.15909090909090903
48600.0,1158,1159,0.1363636363636363,0.20454545454545445
49500.0,699,700,0.12121212121212116,0.18181818181818174
50400.0,1188,1189,0.1363636363636363,0.20454545454545445
51300.0,725,726,0.1363636363636363,0.20454545454545445
52200.0,1211,1212,0.10606060606060602,0.15909090909090903
53100.0,1205,1206,0.12121212121212116,0.18181818181818174
54000.0,785,786,0.12121212121212116,0.18181818181818174
54900.0,1278,1316,0.1818181818181817,0.2727272727272726
55800.0,812,813,0.15151515151515144,0.22727272727272715
56700.0,806,807,0.12121212121212116,0.18181818181818174
57600.0,1292,1293,0.1363636363636363,0.20454545454545445
58500.0,872,873,0.15151515151515144,0.22727272727272715
59400.0,1358,1359,0.10606060606060602,0.15909090909090903
60300.0,1352,1353,0.1363636363636363,0.20454545454545445
61200.0,1346,1347,0.15151515151515144,0.22727272727272715
62100.0,1378,1379,0.12121212121212116,0.18181818181818174
63000.0,920,959,0.15151515151515144,0.22727272727272715
63900.0,953,954,0.10606060606060602,0.15909090909090903
64800.0,1400,1439,0.1363636363636363,0.20454545454545445
65700.0,1433,1434,0.15151515151515144,0.22727272727272715
66600.0,1469,1470,0.1363636363636363,0.20454545454545445
67500.0,1006,1007,0.15151515151515144,0.22727272727272715
68400.0,1000,1001,0.12121212121212116,0.18181818181818174
69300.0,37,38,0.12121212121212116,0.18181818181818174
70200.0,31,32,0.12121212121212116,0.18181818181818174
71100.0,70,108,0.1818181818181817,0.2727272727272726
72000.0,1093,1094,0.15151515151515144,0.22727272727272715
72900.0,1087,1088,0.15151515151515144,0.22727272727272715
73800.0,84,85,0.1363636363636363,0.20454545454545445
74700.0,1153,1154,0.15151515151515144,0.22727272727272715
75600.0,154,155,0.10606060606060602,0.15909090909090903
76500.0,144,145,0.1363636363636363,0.20454545454545445
77400.0,138,139,0.15151515151515144,0.22727272727272715
78300.0,934,972,0.15151515151515144,0.22727272727272715
79200.0,164,165,0.15151515151515144,0.22727272727272715
80100.0,1234,1235,0.12121212121212116,0.18181818181818174
81000.0,231,232,0.1363636363636363,0.20454545454545445
81900.0,225,226,0.15151515151515144,0.22727272727272715
82800.0,261,262,0.12121212121212116,0.18181818181818174
83700.0,1287,1288,0.15151515151515144,0.22727272727272715
84600.0,1281,1282,0.12121212121212116,0.18181818181818174
85500.0,318,319,0.12121212121212116,0.18181818181818174
86164.09,1349,1350,0.15151515151515144,0.22727272727272715
