policy,S,M,N,F,i,u0,C1,C2,stage,feasible,message,p30,max_delay_ms,mean_delay_ms,unreachable_rate,reachable_count,sample_count,robustness_margin
strict_Tmax30,1600,100,16,25,50.0,11.25,0.999841,0.989143,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,16,50.0,7.2,0.999088,0.989132,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,16,50.0,0.0,0.999082,0.989099,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,17,51.25,0.0,0.999975,0.988622,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,16,51.25,10.8,0.999943,0.988566,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,16,51.25,7.2,0.999923,0.98854,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,16,51.25,0.0,0.999943,0.988525,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,16,51.25,3.6,0.999923,0.98848,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,17,51.25,10.8,0.999966,0.988258,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,33,50.0,0.0,0.999853,0.988232,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,100,16,25,51.0,5.625,0.999995,0.988197,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,17,51.25,3.6,0.999971,0.988196,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,100,16,25,51.0,16.875,0.99999,0.988188,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,100,16,25,51.0,0.0,0.99999,0.988174,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,33,50.0,4.5,0.999839,0.988139,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,100,16,25,51.0,11.25,0.99999,0.988136,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,15,51.25,10.8,0.999975,0.988127,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,17,51.25,7.2,0.999975,0.988099,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,15,51.25,7.2,0.999966,0.988069,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,15,51.25,0.0,0.999966,0.987977,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,64,25,15,51.25,3.6,0.999975,0.987876,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,33,50.0,2.25,0.999839,0.987712,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,33,50.0,6.75,0.999834,0.987674,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.0,9.0,1.0,0.987486,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.0,18.0,1.0,0.987371,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.0,0.0,1.0,0.987211,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.0,27.0,1.0,0.987053,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.25,9.0,1.0,0.98618,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.25,0.0,1.0,0.986164,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.25,18.0,1.0,0.986074,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,50.25,27.0,1.0,0.986001,delay_lower_bound_reject,,,,,,,,,
