candidate,S,scenario,processing_delay_s,isl_max_distance_km,C1,C2,p30_all,p30_reachable,reachable_count,late_reachable_count,unreachable_count,max_delay_s
S1540,1540,baseline,0.0005,5000.0,0.9999411168471822,0.9831508009073263,0.811048800859086,0.8114231598717143,251314,47392,116,0.0817220259012409
S1540,1540,processing_0ms,0.0,5000.0,0.9999411168471822,0.9831508009073263,0.9125959511593684,0.9130171816930215,251314,21860,116,0.06960197521163587
S1540,1540,processing_1ms,0.001,5000.0,0.9999411168471822,0.9831508009073263,0.7056596269339379,0.7059853410474546,251314,73890,116,0.09372202590124093
S1540,1540,isl_4500km,0.0005,4500.0,0.9999411168471822,0.9831508009073263,0.811048800859086,0.8114231598717143,251314,47392,116,0.0817220259012409
S1540,1540,isl_5500km,0.0005,5500.0,0.9999411168471822,0.9831508009073263,0.811048800859086,0.8114231598717143,251314,47392,116,0.0817220259012409
S1680,1680,baseline,0.0005,5000.0,0.9999951289583046,0.9959020293087781,0.8216601042039534,0.8216601042039534,251430,44840,0,0.08373698586264822
S1680,1680,processing_0ms,0.0,5000.0,0.9999951289583046,0.9959020293087781,0.9307083482480213,0.9307083482480213,251430,17422,0,0.06923698586264823
S1680,1680,processing_1ms,0.001,5000.0,0.9999951289583046,0.9959020293087781,0.7133277651831523,0.7133277651831523,251430,72078,0,0.09823698586264823
S1680,1680,isl_4500km,0.0005,4500.0,0.9999951289583046,0.9959020293087781,0.8216601042039534,0.8216601042039534,251430,44840,0,0.08373698586264822
S1680,1680,isl_5500km,0.0005,5500.0,0.9999951289583046,0.9959020293087781,0.8216601042039534,0.8216601042039534,251430,44840,0,0.08373698586264822
S1760,1760,baseline,0.0005,5000.0,0.9996722383270975,0.9895055780312716,0.8296782404645429,0.8296782404645429,251430,42824,0,0.07921666444985197
S1760,1760,processing_0ms,0.0,5000.0,0.9996722383270975,0.9895055780312716,0.9357515014119238,0.9357515014119238,251430,16154,0,0.06571666444985198
S1760,1760,processing_1ms,0.001,5000.0,0.9996722383270975,0.9895055780312716,0.7264208726086784,0.7264208726086784,251430,68786,0,0.09271666444985197
S1760,1760,isl_4500km,0.0005,4500.0,0.9996722383270975,0.9895055780312716,0.8296782404645429,0.8296782404645429,251430,42824,0,0.07921666444985197
S1760,1760,isl_5500km,0.0005,5500.0,0.9996722383270975,0.9895055780312716,0.8296782404645429,0.8296782404645429,251430,42824,0,0.07921666444985197
