stage,planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,c_min,min_margin,single_coverage_time_rate,strict_double_time_rate,max_uncovered_gap_s,worst_time_s,mean_critical_points,max_critical_points,evaluated_time_steps,stopped_early,backend,cegis_rounds,cegis_converged,active_constraint_count
refined,40,1,40,12,48.449432674051224,8.998264190742933,219.50672578782675,0,-0.09260229861952152,0.0,0.0,86520.0,30000.0,25.080443828016644,44,721,False,scipy-cKDTree,2,False,3852
refined,40,1,40,34,65.74435419564375,7.68421744264107,346.3417447231587,0,-0.10433798295928598,0.0,0.0,86520.0,42840.0,27.246879334257976,54,721,False,scipy-cKDTree,2,False,3852
refined,20,2,40,5,50.76185096176955,6.55277725113146,83.38405750408387,0,-0.12183386634353577,0.0,0.0,86520.0,28440.0,32.55755894590846,62,721,False,scipy-cKDTree,2,False,3852
refined,8,5,40,2,48.449432674051224,1.5270317044284816,52.56720429971915,0,-0.07277590667436129,0.0,0.0,86520.0,42000.0,25.30651872399445,52,721,False,scipy-cKDTree,2,False,3851
refined,5,8,40,3,90.0,58.796398432722846,8.648296456592135,0,-0.11470953322540345,0.0,0.0,86520.0,37680.0,22.895977808599167,52,721,False,scipy-cKDTree,2,False,3852
refined,41,1,41,31,48.449432674051224,6.406568796779511,286.39507165730663,0,-0.08653107067825183,0.0,0.0,86520.0,8880.0,27.618585298196948,51,721,False,scipy-cKDTree,2,False,3852
refined,41,1,41,23,48.449432674051224,5.953354253274014,297.81893271748794,0,-0.10220808441870599,0.0,0.0,86520.0,7800.0,25.780859916782248,52,721,False,scipy-cKDTree,2,False,3852
refined,41,1,41,9,48.449432674051224,0.8413041368481938,122.569756490482,0,-0.07951843857450591,0.0,0.0,86520.0,32520.0,25.590846047156727,44,721,False,scipy-cKDTree,2,False,3852
refined,41,1,41,28,48.449432674051224,4.3475586286289944,323.0299296615287,0,-0.08844484092231164,0.0,0.0,86520.0,23280.0,31.033287101248266,54,721,False,scipy-cKDTree,2,False,3851
refined,41,1,41,11,48.449432674051224,6.608729776193135,339.6694928882428,0,-0.11902376839003803,0.0,0.0,86520.0,16560.0,29.891816920943135,57,721,False,scipy-cKDTree,2,False,3852
refined,42,1,42,28,48.449432674051224,7.012856315891602e-08,252.3481902891541,0,-0.15245055388331719,0.0,0.0,86520.0,7920.0,28.40499306518724,58,721,False,scipy-cKDTree,2,False,3851
refined,21,2,42,11,48.449432674051224,5.603195067862271,174.71463484751274,0,-0.08181914647216382,0.0,0.0,86520.0,19200.0,28.926490984743413,48,721,False,scipy-cKDTree,2,False,3852
refined,21,2,42,14,48.449432674051224,0.674239687411233,74.10041494823419,0,-0.09781085488378327,0.0,0.0,86520.0,71880.0,28.323162274618586,64,721,False,scipy-cKDTree,2,False,3852
refined,14,3,42,2,48.449432674051224,1.9936387672325875,86.86895340504876,0,-0.07849661546463182,0.0,0.0,86520.0,32400.0,28.142857142857142,62,721,False,scipy-cKDTree,2,False,3851
refined,21,2,42,8,48.449432674051224,12.845818499329479,74.6022957564244,0,-0.07628190650297295,0.0,0.0,86520.0,13440.0,25.76976421636616,44,721,False,scipy-cKDTree,2,False,3852
