threshold,p_trigger,p_feasible_given_trigger,avoidances_per_satellite_year,total_avoidances_per_year,residual_catalog_events_per_satellite_year
1e-06,0.08641975308641975,1.0,0.12036757455337098,178.14401033898906,1.2645461815481766e-07
3e-06,0.07407407407407407,1.0,0.10317220676003226,152.69486600484774,1.3559568872642684e-07
1e-05,0.06172839506172839,1.0,0.08597683896669356,127.24572167070647,2.2254717026868591e-07
3e-05,0.04938271604938271,1.0,0.06878147117335484,101.79657733656516,5.261069051982395e-07
0.0001,0.024691358024691357,1.0,0.03439073558667742,50.89828866828258,2.698380418147202e-06
0.0003,0.0,0.0,0.0,0.0,7.124698423980905e-06
