candidate,S,scenario,processing_delay_s,isl_max_distance_km,C1,C2,p30_all,p30_reachable,reachable_count,late_reachable_count,unreachable_count,max_delay_s
S1680,1680,baseline,0.0005,5000.0,1.0,1.0,0.25,0.25,24,18,0,0.04362197604129603
S1680,1680,processing_0ms,0.0,5000.0,1.0,1.0,0.5,0.5,24,12,0,0.03762197604129603
S1680,1680,processing_1ms,0.001,5000.0,1.0,1.0,0.16666666666666666,0.16666666666666666,24,20,0,0.04962197604129603
S1680,1680,isl_4500km,0.0005,4500.0,1.0,1.0,0.25,0.25,24,18,0,0.04362197604129603
S1680,1680,isl_5500km,0.0005,5500.0,1.0,1.0,0.25,0.25,24,18,0,0.04362197604129603
