planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,fast_c_min,fast_single_time_rate,fast_strict_double_time_rate,fast_max_uncovered_gap_s,fast_worst_time_s,fast_mean_critical_points,fast_max_critical_points,fast_stopped_early,fast_evaluated_time_steps
64,25,1600,0,50.0,0.0,0.0,0,0.6666666666666666,0.0,900.0,1800.0,8759.333333333334,9149,True,3
40,40,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9924.0,9924,True,1
32,50,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9685.0,9685,True,1
50,32,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9221.0,9221,True,1
25,64,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8821.0,8821,True,1
20,80,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9285.0,9285,True,1
80,20,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8342.0,8342,True,1
16,100,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8980.0,8980,True,1
100,16,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9138.0,9138,True,1
10,160,1600,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10623.0,10623,True,1
