S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1580,158,10,25,50.75,27.0,0.998665,0.95174,0,300.0,3.1474
1580,158,10,25,51.25,0.0,0.998075,0.949305,0,300.0,3.1399
1580,158,10,25,51.25,9.0,0.998094,0.949568,0,300.0,3.1403
1580,158,10,25,51.25,18.0,0.997955,0.949207,0,300.0,3.1397
1580,158,10,25,51.25,27.0,0.998046,0.948969,0,300.0,3.14
1580,158,10,26,50.75,0.0,0.999615,0.972485,0,300.0,3.1456
1580,158,10,26,50.75,9.0,0.999605,0.972622,0,300.0,3.1458
1580,158,10,26,50.75,18.0,0.999601,0.972584,0,300.0,3.1459
1580,158,10,26,50.75,27.0,0.999639,0.972432,0,300.0,3.146
1580,158,10,26,51.25,0.0,0.999696,0.970041,0,300.0,3.14
1580,158,10,26,51.25,9.0,0.999686,0.970303,0,300.0,3.1401
1580,158,10,26,51.25,18.0,0.999696,0.970269,0,300.0,3.1403
1580,158,10,26,51.25,27.0,0.999706,0.97033,0,300.0,3.1399
1580,158,10,27,50.75,0.0,1.0,0.982708,1,0.0,3.1464
1580,158,10,27,50.75,9.0,1.0,0.982686,1,0.0,3.1463
1580,158,10,27,50.75,18.0,1.0,0.982831,1,0.0,3.1465
1580,158,10,27,50.75,27.0,0.999995,0.982747,0,300.0,3.1466
1580,158,10,27,51.25,0.0,0.999927,0.979643,0,300.0,3.1399
1580,158,10,27,51.25,9.0,0.999947,0.979663,0,300.0,3.1401
1580,158,10,27,51.25,18.0,0.999928,0.979734,0,300.0,3.1401
1580,158,10,27,51.25,27.0,0.999922,0.979664,0,300.0,3.1399
1580,158,10,25,50.75,0.0,0.998635,0.951916,0,300.0,3.1458
1580,158,10,25,50.75,9.0,0.998668,0.952023,0,300.0,3.1451
1580,158,10,25,50.75,18.0,0.998607,0.951773,0,300.0,3.1465
1580,158,10,25,50.75,27.0,0.998665,0.95174,0,300.0,3.1474
1580,158,10,25,51.25,0.0,0.998075,0.949305,0,300.0,3.1399
1580,158,10,25,51.25,9.0,0.998094,0.949568,0,300.0,3.1403
1580,158,10,25,51.25,18.0,0.997955,0.949207,0,300.0,3.1397
1580,158,10,25,51.25,27.0,0.998046,0.948969,0,300.0,3.14
1580,158,10,26,50.75,0.0,0.999615,0.972485,0,300.0,3.1456
1580,158,10,26,50.75,9.0,0.999605,0.972622,0,300.0,3.1458
1580,158,10,26,50.75,18.0,0.999601,0.972584,0,300.0,3.1459
1580,158,10,26,50.75,27.0,0.999639,0.972432,0,300.0,3.146
1580,158,10,26,51.25,0.0,0.999696,0.970041,0,300.0,3.14
1580,158,10,26,51.25,9.0,0.999686,0.970303,0,300.0,3.1401
1580,158,10,26,51.25,18.0,0.999696,0.970269,0,300.0,3.1403
1580,158,10,26,51.25,27.0,0.999706,0.97033,0,300.0,3.1399
1580,158,10,27,50.75,0.0,1.0,0.982708,1,0.0,3.1464
1580,158,10,27,50.75,9.0,1.0,0.982686,1,0.0,3.1463
1580,158,10,27,50.75,18.0,1.0,0.982831,1,0.0,3.1465
1580,158,10,27,50.75,27.0,0.999995,0.982747,0,300.0,3.1466
1580,158,10,27,51.25,0.0,0.999927,0.979643,0,300.0,3.1399
1580,158,10,27,51.25,9.0,0.999947,0.979663,0,300.0,3.1401
1580,158,10,27,51.25,18.0,0.999928,0.979734,0,300.0,3.1401
1580,158,10,27,51.25,27.0,0.999922,0.979664,0,300.0,3.1399
1600,64,25,16,51.0,0.0,0.999986,0.989486,0,300.0,3.1827
1600,64,25,16,51.0,3.6,0.999976,0.989412,0,300.0,3.1823
1600,64,25,16,51.0,7.2,0.99999,0.989407,0,300.0,3.1826
1600,64,25,16,51.0,10.8,0.999986,0.989428,0,300.0,3.1823
1600,64,25,16,51.0,0.0,0.999986,0.989486,0,300.0,3.1827
1600,64,25,16,51.0,3.6,0.999976,0.989412,0,300.0,3.1823
1600,64,25,16,51.0,7.2,0.99999,0.989407,0,300.0,3.1826
1600,64,25,16,51.0,10.8,0.999986,0.989428,0,300.0,3.1823
1600,40,40,33,50.0,0.0,0.999853,0.988232,0,300.0,3.1994
1600,40,40,33,50.0,2.25,0.999839,0.987712,0,300.0,3.1935
1600,40,40,33,50.0,4.5,0.999839,0.988139,0,300.0,3.1989
1600,40,40,33,50.0,6.75,0.999834,0.987674,0,300.0,3.1933
1600,40,40,33,50.0,0.0,0.999853,0.988232,0,300.0,3.1994
1600,40,40,33,50.0,2.25,0.999839,0.987712,0,300.0,3.1935
1600,40,40,33,50.0,4.5,0.999839,0.988139,0,300.0,3.1989
1600,40,40,33,50.0,6.75,0.999834,0.987674,0,300.0,3.1933
1600,100,16,25,51.0,0.0,0.99999,0.988174,0,300.0,3.1829
1600,100,16,25,51.0,5.625,0.999995,0.988197,0,300.0,3.1828
1600,100,16,25,51.0,11.25,0.99999,0.988136,0,300.0,3.1827
1600,100,16,25,51.0,16.875,0.99999,0.988188,0,300.0,3.1827
1600,100,16,25,51.0,0.0,0.99999,0.988174,0,300.0,3.1829
1600,100,16,25,51.0,5.625,0.999995,0.988197,0,300.0,3.1828
1600,100,16,25,51.0,11.25,0.99999,0.988136,0,300.0,3.1827
1600,100,16,25,51.0,16.875,0.99999,0.988188,0,300.0,3.1827
1600,40,40,33,51.0,0.0,0.999565,0.985138,0,300.0,3.1848
1600,40,40,33,51.0,2.25,0.999609,0.984815,0,600.0,3.1807
1600,40,40,33,51.0,4.5,0.99957,0.985254,0,300.0,3.185
1600,40,40,33,51.0,6.75,0.999599,0.984793,0,600.0,3.1803
1600,40,40,33,51.0,0.0,0.999565,0.985138,0,300.0,3.1848
1600,40,40,33,51.0,2.25,0.999609,0.984815,0,600.0,3.1807
1600,40,40,33,51.0,4.5,0.99957,0.985254,0,300.0,3.185
1600,40,40,33,51.0,6.75,0.999599,0.984793,0,600.0,3.1803
1600,160,10,27,50.0,0.0,1.0,0.987211,1,0.0,3.1964
1600,160,10,27,50.0,9.0,1.0,0.987486,1,0.0,3.196
1600,160,10,27,50.0,18.0,1.0,0.987371,1,0.0,3.1962
1600,160,10,27,50.0,27.0,1.0,0.987053,1,0.0,3.196
1600,100,16,25,50.0,0.0,0.999841,0.989184,0,300.0,3.1963
1600,100,16,25,50.0,5.625,0.999858,0.98922,0,300.0,3.1962
1600,100,16,25,50.0,11.25,0.999841,0.989143,0,300.0,3.1959
1600,100,16,25,50.0,16.875,0.999854,0.98918,0,300.0,3.1962
1600,160,10,27,50.0,0.0,1.0,0.987211,1,0.0,3.1964
1600,160,10,27,50.0,9.0,1.0,0.987486,1,0.0,3.196
1600,160,10,27,50.0,18.0,1.0,0.987371,1,0.0,3.1962
1600,160,10,27,50.0,27.0,1.0,0.987053,1,0.0,3.196
1600,40,40,39,50.0,0.0,0.999808,0.9839,0,300.0,3.196
1600,40,40,39,50.0,2.25,0.999794,0.984064,0,300.0,3.196
1600,40,40,39,50.0,4.5,0.999808,0.984228,0,300.0,3.1959
1600,40,40,39,50.0,6.75,0.999803,0.984094,0,300.0,3.1958
1600,100,16,25,50.0,0.0,0.999841,0.989184,0,300.0,3.1963
1600,100,16,25,50.0,5.625,0.999858,0.98922,0,300.0,3.1962
1600,100,16,25,50.0,11.25,0.999841,0.989143,0,300.0,3.1959
1600,100,16,25,50.0,16.875,0.999854,0.98918,0,300.0,3.1962
1600,64,25,16,50.0,0.0,0.999082,0.989099,0,300.0,3.1961
1600,64,25,16,50.0,3.6,0.99907,0.989181,0,300.0,3.1959
1600,64,25,16,50.0,7.2,0.999088,0.989132,0,300.0,3.1961
1600,64,25,16,50.0,10.8,0.999085,0.989167,0,300.0,3.1966
1600,160,10,26,49.75,0.0,0.996514,0.970856,0,300.0,3.1903
1600,160,10,26,49.75,9.0,0.99652,0.970936,0,300.0,3.1906
1600,160,10,26,49.75,18.0,0.996509,0.970722,0,300.0,3.1903
1600,160,10,26,49.75,27.0,0.996519,0.970739,0,300.0,3.1905
1600,160,10,26,50.25,0.0,0.999736,0.971921,0,300.0,3.1989
1600,160,10,26,50.25,9.0,0.999685,0.972025,0,300.0,3.1981
1600,160,10,26,50.25,18.0,0.999736,0.972023,0,300.0,3.198
1600,160,10,26,50.25,27.0,0.999729,0.972019,0,300.0,3.1985
1600,160,10,27,49.75,0.0,0.999917,0.985099,0,300.0,3.1909
1600,160,10,27,49.75,9.0,0.999896,0.98505,0,300.0,3.1901
1600,160,10,27,49.75,18.0,0.999908,0.985181,0,300.0,3.1906
1600,160,10,27,49.75,27.0,0.999902,0.985023,0,300.0,3.1908
1600,160,10,27,50.25,0.0,1.0,0.986164,1,0.0,3.1985
