S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1580,10,158,2,51.0,1.139,0.707105,0.679272,0,5400.0,3.1723
1580,10,158,3,49.0,0.0,0.719094,0.677122,0,5400.0,3.0064
1580,10,158,3,49.0,1.139,0.719399,0.67731,0,5400.0,3.0068
1580,10,158,3,50.0,0.0,0.726451,0.698897,0,6300.0,3.0955
1580,10,158,3,50.0,1.139,0.727412,0.6989,0,6300.0,3.0955
1580,10,158,3,51.0,0.0,0.707184,0.678263,0,5400.0,3.1736
1580,10,158,3,51.0,1.139,0.706123,0.67921,0,5400.0,3.1723
1580,10,158,5,49.0,0.0,0.719125,0.677542,0,5400.0,3.0089
1580,10,158,5,49.0,1.139,0.719162,0.677333,0,5400.0,3.0091
1580,10,158,5,50.0,0.0,0.72691,0.699216,0,6300.0,3.0953
1580,10,158,5,50.0,1.139,0.726676,0.699215,0,6300.0,3.0947
1580,10,158,5,51.0,0.0,0.706524,0.677914,0,5400.0,3.1714
1580,10,158,5,51.0,1.139,0.706626,0.678296,0,5400.0,3.1725
1580,10,158,7,49.0,0.0,0.719544,0.677021,0,5400.0,3.0058
1580,10,158,7,49.0,1.139,0.719092,0.677217,0,5400.0,3.006
1580,10,158,7,50.0,0.0,0.727218,0.699133,0,6300.0,3.0965
1580,10,158,7,50.0,1.139,0.726596,0.698439,0,6300.0,3.0946
1580,10,158,7,51.0,0.0,0.706837,0.679467,0,5400.0,3.1717
1580,10,158,7,51.0,1.139,0.706966,0.678475,0,5400.0,3.1702
1580,10,158,8,49.0,0.0,0.719383,0.676794,0,5400.0,3.0075
1580,10,158,8,49.0,1.139,0.719109,0.676489,0,5400.0,3.0057
1580,10,158,8,50.0,0.0,0.726794,0.699101,0,6300.0,3.0965
1580,10,158,8,50.0,1.139,0.726995,0.699089,0,6300.0,3.0945
1580,10,158,8,51.0,0.0,0.706545,0.678684,0,5400.0,3.1733
1580,10,158,8,51.0,1.139,0.706762,0.678957,0,5400.0,3.1726
1580,10,158,9,49.0,0.0,0.719271,0.676779,0,5400.0,3.0076
1580,10,158,9,49.0,1.139,0.719393,0.676721,0,5400.0,3.007
1580,10,158,9,50.0,0.0,0.726267,0.698288,0,6300.0,3.0948
1580,10,158,9,50.0,1.139,0.727199,0.699193,0,6300.0,3.0952
1580,10,158,9,51.0,0.0,0.707078,0.678599,0,5400.0,3.1763
1580,10,158,9,51.0,1.139,0.706802,0.678609,0,5400.0,3.17
1580,20,79,0,49.0,0.0,0.947936,0.815492,0,1800.0,3.0069
1580,20,79,0,49.0,2.278,0.948998,0.814388,0,1800.0,3.0095
1580,20,79,0,50.0,0.0,0.939403,0.867696,0,1800.0,3.0919
1580,20,79,0,50.0,2.278,0.939066,0.86729,0,1800.0,3.0966
1580,20,79,0,51.0,0.0,0.946397,0.850675,0,1800.0,3.1738
1580,20,79,0,51.0,2.278,0.946751,0.85009,0,1800.0,3.1695
1580,20,79,1,49.0,0.0,0.948402,0.816777,0,1800.0,3.006
1580,20,79,1,49.0,2.278,0.948613,0.816643,0,1800.0,3.0015
1580,20,79,1,50.0,0.0,0.938693,0.866955,0,1800.0,3.0971
1580,20,79,1,50.0,2.278,0.938177,0.86694,0,1800.0,3.0932
1580,20,79,1,51.0,0.0,0.946399,0.84666,0,1800.0,3.169
1580,20,79,1,51.0,2.278,0.946033,0.846886,0,1800.0,3.1725
1580,20,79,3,49.0,0.0,0.949103,0.816743,0,1800.0,3.0061
1580,20,79,3,49.0,2.278,0.949001,0.816678,0,1800.0,3.0072
1580,20,79,3,50.0,0.0,0.938125,0.870026,0,1800.0,3.0965
1580,20,79,3,50.0,2.278,0.938224,0.868717,0,1800.0,3.0938
1580,20,79,3,51.0,0.0,0.945265,0.851116,0,1800.0,3.1717
1580,20,79,3,51.0,2.278,0.945248,0.851604,0,1800.0,3.1731
1580,20,79,5,49.0,0.0,0.947316,0.814333,0,1800.0,2.9995
1580,20,79,5,49.0,2.278,0.947126,0.81446,0,1800.0,2.9994
1580,20,79,5,50.0,0.0,0.938205,0.869301,0,1800.0,3.0995
1580,20,79,5,50.0,2.278,0.9382,0.869377,0,1800.0,3.1
1580,20,79,5,51.0,0.0,0.946841,0.847536,0,1800.0,3.1746
1580,20,79,5,51.0,2.278,0.947133,0.847369,0,1800.0,3.1777
1580,20,79,7,49.0,0.0,0.946519,0.819949,0,1800.0,3.007
1580,20,79,7,49.0,2.278,0.9477,0.82047,0,1800.0,3.0058
1580,20,79,7,50.0,0.0,0.939938,0.868649,0,1800.0,3.096
1580,20,79,7,50.0,2.278,0.938518,0.868888,0,1800.0,3.0943
1580,20,79,7,51.0,0.0,0.946695,0.849915,0,1800.0,3.1751
1580,20,79,7,51.0,2.278,0.944733,0.847865,0,1800.0,3.1695
1580,20,79,10,49.0,0.0,0.945174,0.822111,0,1800.0,3.0075
1580,20,79,10,49.0,2.278,0.945602,0.821501,0,1800.0,3.0089
1580,20,79,10,50.0,0.0,0.938518,0.86922,0,1800.0,3.095
1580,20,79,10,50.0,2.278,0.938199,0.86896,0,1800.0,3.0934
1580,20,79,10,51.0,0.0,0.945357,0.848844,0,1800.0,3.1731
1580,20,79,10,51.0,2.278,0.945203,0.84889,0,1800.0,3.1701
1580,20,79,13,49.0,0.0,0.945278,0.82253,0,1800.0,3.0059
1580,20,79,13,49.0,2.278,0.944887,0.822788,0,2700.0,3.0074
1580,20,79,13,50.0,0.0,0.938605,0.867586,0,1800.0,3.0938
1580,20,79,13,50.0,2.278,0.939238,0.867595,0,1800.0,3.0965
1580,20,79,13,51.0,0.0,0.94644,0.847028,0,1800.0,3.1725
1580,20,79,13,51.0,2.278,0.946816,0.846382,0,1800.0,3.1723
1580,20,79,17,49.0,0.0,0.946125,0.818091,0,3600.0,3.0057
1580,20,79,17,49.0,2.278,0.946846,0.817607,0,3600.0,3.0071
1580,20,79,17,50.0,0.0,0.939793,0.867463,0,1800.0,3.0955
1580,20,79,17,50.0,2.278,0.939466,0.867196,0,1800.0,3.0948
1580,20,79,17,51.0,0.0,0.946981,0.847628,0,1800.0,3.171
1580,20,79,17,51.0,2.278,0.946362,0.847467,0,1800.0,3.1736
1580,20,79,19,49.0,0.0,0.948587,0.815506,0,1800.0,3.0067
1580,20,79,19,49.0,2.278,0.947441,0.816183,0,2700.0,3.0057
1580,20,79,19,50.0,0.0,0.939127,0.868038,0,1800.0,3.0961
1580,20,79,19,50.0,2.278,0.939751,0.867117,0,1800.0,3.0953
1580,20,79,19,51.0,0.0,0.944871,0.844023,0,1800.0,3.1695
1580,20,79,19,51.0,2.278,0.947026,0.84582,0,1800.0,3.1742
1580,79,20,0,49.0,0.0,0.923604,0.818774,0,2700.0,3.007
1580,79,20,0,49.0,9.0,0.923918,0.81941,0,2700.0,3.0067
1580,79,20,0,50.0,0.0,0.936104,0.840661,0,2700.0,3.096
1580,79,20,0,50.0,9.0,0.93583,0.840831,0,2700.0,3.0959
1580,79,20,0,51.0,0.0,0.932744,0.836128,0,1800.0,3.1739
1580,79,20,0,51.0,9.0,0.931604,0.834888,0,1800.0,3.1721
1580,79,20,1,49.0,0.0,0.928031,0.806491,0,1800.0,3.0085
1580,79,20,1,49.0,9.0,0.927794,0.806088,0,1800.0,3.0075
1580,79,20,1,50.0,0.0,0.936167,0.835432,0,1800.0,3.0992
1580,79,20,1,50.0,9.0,0.935985,0.835172,0,1800.0,3.096
1580,79,20,1,51.0,0.0,0.928657,0.814521,0,2700.0,3.1709
1580,79,20,1,51.0,9.0,0.928745,0.8144,0,2700.0,3.17
1580,79,20,13,49.0,0.0,0.981788,0.917562,0,38700.0,3.0053
1580,79,20,13,49.0,9.0,0.982004,0.918388,0,37800.0,3.0028
1580,79,20,13,50.0,0.0,0.994318,0.948128,0,900.0,3.0999
1580,79,20,13,50.0,9.0,0.994521,0.948999,0,900.0,3.0965
1580,79,20,13,51.0,0.0,0.994506,0.936263,0,900.0,3.1754
1580,79,20,13,51.0,9.0,0.994914,0.936665,0,900.0,3.1678
1580,79,20,19,49.0,0.0,0.997628,0.901702,0,900.0,3.0061
1580,79,20,19,49.0,9.0,0.997784,0.901452,0,900.0,3.0061
1580,79,20,19,50.0,0.0,0.9999,0.947972,0,900.0,3.098
1580,79,20,19,50.0,9.0,0.9999,0.948324,0,900.0,3.0967
1580,79,20,19,51.0,0.0,0.999202,0.945959,0,900.0,3.1712
1580,79,20,19,51.0,9.0,0.999202,0.94598,0,900.0,3.1721
1580,79,20,26,49.0,0.0,0.962768,0.89154,0,86400.0,3.0221
1580,79,20,26,49.0,9.0,0.962364,0.892113,0,87300.0,3.0205
1580,79,20,26,50.0,0.0,0.990692,0.919717,0,86400.0,3.1184
1580,79,20,26,50.0,9.0,0.990286,0.919902,0,86400.0,3.1192
1580,79,20,26,51.0,0.0,0.998636,0.924177,0,900.0,3.1925
1580,79,20,26,51.0,9.0,0.998346,0.924488,0,900.0,3.1915
1580,79,20,39,49.0,0.0,0.98567,0.929158,0,45000.0,3.0061
1580,79,20,39,49.0,9.0,0.986079,0.930099,0,47700.0,3.0081
1580,79,20,39,50.0,0.0,0.999017,0.962508,0,900.0,3.0982
1580,79,20,39,50.0,9.0,0.999276,0.962858,0,900.0,3.0948
