sequence,mode,stage,candidate_key,elapsed_s
5193,saturation,low,"[60,31,51,50.0,0.0,0.0]",146.47548249999818
5194,saturation,low,"[60,31,52,50.0,0.0,0.0]",146.47827609999513
5195,saturation,low,"[60,31,53,50.0,0.0,0.0]",146.4812854000047
5196,saturation,low,"[60,31,54,50.0,0.0,0.0]",146.48373010000068
5197,saturation,low,"[60,31,55,50.0,0.0,0.0]",146.48822249999648
5198,saturation,low,"[60,31,56,50.0,0.0,0.0]",146.49113720000605
5199,saturation,low,"[60,31,57,50.0,0.0,0.0]",146.4944686000017
5200,saturation,low,"[60,31,58,50.0,0.0,0.0]",146.497097200001
5201,saturation,low,"[60,31,59,50.0,0.0,0.0]",146.49878049999825
5202,saturation,medium,"[31,60,8,50.0,0.0,0.0]",517.6761407000013
5203,saturation,medium,"[31,60,15,50.0,0.0,0.0]",517.6800894000044
