case,theta_deg,theta_rad,ground_radius_km,coverage_area_km2,n_min,equivalent_alpha_deg
given_radius_506km,4.550567325948776,0.07942238267148015,506.0,803938.0855852868,40,41.5620164581328
cone_angle_40.46deg,4.364468726652541,0.07617434938041123,485.30677990259994,739558.5786666987,42,40.46
