planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,C1,C2,avg_multiplicity,c_min,max_gap_s,strict_double_time_rate
1,40,40,0,48.5,0.0,0.0,0.1289529344051669,0.00018042267196674772,0.12913335707713366,0,21720.0,0.0
1,40,40,0,50.0,0.0,0.0,0.13289784802241222,0.00018081076603355966,0.13307865878844577,0,21720.0,0.0
1,40,40,0,52.0,0.0,0.0,0.13391730887080425,0.00018945324646988727,0.13410676211727413,0,21720.0,0.0
1,40,40,0,54.0,0.0,0.0,0.13195758316614667,0.0001241461714677283,0.1320817293376144,0,21720.0,0.0
1,40,40,0,56.0,0.0,0.0,0.12865527279691422,0.00015610232024911578,0.12881137511716334,0,21720.0,0.0
1,40,40,0,58.0,0.0,0.0,0.12052482118895534,0.00018177960158929595,0.12070660079054464,0,21720.0,0.0
1,40,40,0,60.0,0.0,0.0,0.11506938574362455,0.0001934753716064727,0.11526286111523101,0,21720.0,0.0
1,50,50,0,48.5,0.0,0.0,0.14400603051316668,0.01842421535843544,0.16243024587160212,0,21720.0,0.0
1,50,50,0,50.0,0.0,0.0,0.14823250589314765,0.01844423956057386,0.16667674545372152,0,21720.0,0.0
1,50,50,0,52.0,0.0,0.0,0.14825690997318136,0.01883802738100067,0.16709493735418202,0,21720.0,0.0
1,50,50,0,54.0,0.0,0.0,0.14588063448869976,0.01900514713492618,0.16488578162362594,0,21720.0,0.0
1,50,50,0,56.0,0.0,0.0,0.14367839018813794,0.017574652651897987,0.16125304284003592,0,21720.0,0.0
1,50,50,0,58.0,0.0,0.0,0.13473183720479143,0.01637371963805731,0.1511055568428487,0,21720.0,0.0
1,50,50,0,60.0,0.0,0.0,0.1281526641213062,0.016001930330672598,0.14415459445197876,0,21720.0,0.0
1,60,60,0,48.5,0.0,0.0,0.14997817961006346,0.04418002337418466,0.1941582029842481,0,21720.0,0.0
1,60,60,0,50.0,0.0,0.0,0.15524478960272914,0.04411006817292198,0.19935485777565115,0,21720.0,0.0
1,60,60,0,52.0,0.0,0.0,0.15459989282298747,0.04605846435862721,0.20065835718161468,0,21720.0,0.0
1,60,60,0,54.0,0.0,0.0,0.15223819719719944,0.045773226488906624,0.19801142368610605,0,21720.0,0.0
1,60,60,0,56.0,0.0,0.0,0.1494422300575412,0.04375643523522137,0.19319866529276256,0,21720.0,0.0
1,60,60,0,58.0,0.0,0.0,0.14076434922187553,0.0411212789926835,0.18188562821455906,0,21720.0,0.0
1,60,60,0,60.0,0.0,0.0,0.13419757565810128,0.039172096466855294,0.17336967212495658,0,21720.0,0.0
1,70,70,0,48.5,0.0,0.0,0.15376561125432173,0.07321083235273394,0.22697644360705566,0,21720.0,0.0
1,70,70,0,50.0,0.0,0.0,0.15883187150329178,0.07449935119853213,0.23333122270182394,0,21720.0,0.0
1,70,70,0,52.0,0.0,0.0,0.15803453428467587,0.07728246742342396,0.23531700170809983,0,21720.0,0.0
1,70,70,0,54.0,0.0,0.0,0.15530144480400943,0.07619117649027707,0.23149262129428647,0,21720.0,0.0
1,70,70,0,56.0,0.0,0.0,0.1533526973171178,0.0721187617650723,0.2254714590821901,0,21720.0,0.0
1,70,70,0,58.0,0.0,0.0,0.1441459392756022,0.06723511480424313,0.21138105407984537,0,21720.0,0.0
1,70,70,0,60.0,0.0,0.0,0.13699732087451422,0.06459687572383506,0.20159419659834926,0,21720.0,0.0
1,80,80,0,48.5,0.0,0.0,0.156111506453835,0.10214333377549706,0.2587133694527222,0,21720.0,0.0
1,80,80,0,50.0,0.0,0.0,0.16129707204408605,0.1042075243346042,0.26585014439819243,0,21720.0,0.0
1,80,80,0,52.0,0.0,0.0,0.16018399809626285,0.10741999628697901,0.26797555153762403,0,21720.0,0.0
1,80,80,0,54.0,0.0,0.0,0.15800696448005708,0.10588387975893923,0.26417099122008697,0,21720.0,0.0
1,80,80,0,56.0,0.0,0.0,0.1552801572935652,0.10200730954666137,0.2576082117486125,0,21720.0,0.0
1,80,80,0,58.0,0.0,0.0,0.1461437837624294,0.09561290877342188,0.24211423137357327,0,21720.0,0.0
1,80,80,0,60.0,0.0,0.0,0.13924270320877263,0.09137266784673151,0.23095218165819215,0,21720.0,0.0
2,40,80,0,48.5,0.0,0.0,0.16497754736852738,0.0014853332168176972,0.1664628805853451,0,21720.0,0.0
2,40,80,0,50.0,0.0,0.0,0.16984672118966998,0.0016022897215854253,0.17144901091125545,0,21720.0,0.0
2,40,80,0,52.0,0.0,0.0,0.1719490513016579,0.0016931229091666272,0.1736421742108245,0,21720.0,0.0
2,40,80,0,54.0,0.0,0.0,0.17120676482206398,0.001741523302838569,0.17294828812490254,0,21720.0,0.0
2,40,80,0,56.0,0.0,0.0,0.16928157499385355,0.0018696615396465294,0.17115123653350006,0,21720.0,0.0
2,40,80,0,58.0,0.0,0.0,0.16248110739895166,0.001966191810343606,0.1644472992092953,0,21720.0,0.0
2,40,80,0,60.0,0.0,0.0,0.15839997214661652,0.0021551460901426418,0.16055511823675916,0,21720.0,0.0
2,40,80,1,48.5,0.0,0.0,0.16465738968364835,0.001718244952890638,0.16637563463653898,0,21720.0,0.0
2,40,80,1,50.0,0.0,0.0,0.16959616181237216,0.0017301824204527638,0.17132634423282492,0,21720.0,0.0
2,40,80,1,52.0,0.0,0.0,0.17185857757250642,0.001795437887655344,0.17365401546016176,0,21720.0,0.0
2,40,80,1,54.0,0.0,0.0,0.17110205518700108,0.0019754399704145385,0.1730774951574156,0,21720.0,0.0
2,40,80,1,56.0,0.0,0.0,0.1690795683350177,0.002109222974121798,0.1711887913091395,0,21720.0,0.0
2,40,80,1,58.0,0.0,0.0,0.16278293660776946,0.0023946180763197386,0.16517755468408918,0,21720.0,0.0
2,40,80,1,60.0,0.0,0.0,0.1585647758358366,0.00269181377690718,0.16125658961274375,0,21720.0,0.0
1,90,90,0,48.5,0.0,0.0,0.15747861794787166,0.11897764615992698,0.29086259587917734,0,21720.0,0.0
1,90,90,0,50.0,0.0,0.0,0.16282347627295254,0.12165827957743269,0.2990280745586879,0,21720.0,0.0
1,90,90,0,52.0,0.0,0.0,0.161552728483366,0.12456064609317445,0.301457791406913,0,21720.0,0.0
1,90,90,0,54.0,0.0,0.0,0.15908252245458038,0.1224758833330265,0.2969286596549536,0,21720.0,0.0
1,90,90,0,56.0,0.0,0.0,0.1566804366534824,0.11903873254741418,0.2898861137388966,0,21720.0,0.0
1,90,90,0,58.0,0.0,0.0,0.14771162917445094,0.11150400031881992,0.27275610164172753,0,21720.0,0.0
1,90,90,0,60.0,0.0,0.0,0.14045510392898508,0.10624615972506339,0.25972155912877026,0,21720.0,0.0
2,45,90,0,48.5,0.0,0.0,0.17645806797193697,0.0108544213467296,0.18739531658172476,0,21720.0,0.0
2,45,90,0,50.0,0.0,0.0,0.1816963689471501,0.0111028398213126,0.19291516693674415,0,21720.0,0.0
2,45,90,0,52.0,0.0,0.0,0.1834641455606865,0.011512530779589272,0.19512576541378043,0,21720.0,0.0
2,45,90,0,54.0,0.0,0.0,0.1826921422025675,0.011844964211456581,0.19473589184536372,0,21720.0,0.0
2,45,90,0,56.0,0.0,0.0,0.18105404207516843,0.011468062250079432,0.1927374552091992,0,21720.0,0.0
2,45,90,0,58.0,0.0,0.0,0.17402690838365942,0.011579411421749746,0.1858713670471953,0,21720.0,0.0
2,45,90,0,60.0,0.0,0.0,0.16908464429124245,0.011613861551651875,0.1809801185372921,0,21720.0,0.0
2,45,90,1,48.5,0.0,0.0,0.1763344902970487,0.010849111894679218,0.1872167330969512,0,21720.0,0.0
2,45,90,1,50.0,0.0,0.0,0.18148951366051133,0.011250223185497314,0.1927894332038436,0,21720.0,0.0
2,45,90,1,52.0,0.0,0.0,0.18355169597671608,0.011554398210712346,0.195172355997875,0,21720.0,0.0
2,45,90,1,54.0,0.0,0.0,0.18304633785609145,0.01174434873646322,0.1948735138556129,0,21720.0,0.0
2,45,90,1,56.0,0.0,0.0,0.18139572140423438,0.011252333023800921,0.19274744714370506,0,21720.0,0.0
2,45,90,1,58.0,0.0,0.0,0.17357307980576908,0.011436887110423686,0.18510935963186254,0,21720.0,0.0
2,45,90,1,60.0,0.0,0.0,0.1694098194690851,0.011466893373265528,0.180992671010632,0,21720.0,0.0
1,100,100,0,48.5,0.0,0.0,0.15865899040637485,0.12874417779594288,0.3239570222346766,0,21720.0,0.0
1,100,100,0,50.0,0.0,0.0,0.16368614407238838,0.13212668149407356,0.332625918332719,0,21720.0,0.0
1,100,100,0,52.0,0.0,0.0,0.16245070648789703,0.13425135060490018,0.3346485915557131,0,21720.0,0.0
1,100,100,0,54.0,0.0,0.0,0.1601566527109962,0.13177087869741597,0.33013882252239846,0,21720.0,0.0
1,100,100,0,56.0,0.0,0.0,0.15765909300278,0.1292227400965798,0.3225743517412904,0,21720.0,0.0
1,100,100,0,58.0,0.0,0.0,0.14851193050927772,0.1206332999654479,0.3025747081384914,0,21720.0,0.0
1,100,100,0,60.0,0.0,0.0,0.14136986387341924,0.11516785701516506,0.2888598071513924,0,21720.0,0.0
2,50,100,0,48.5,0.0,0.0,0.1834656499938899,0.0252148602457687,0.20884616476577494,0,21720.0,0.0
2,50,100,0,50.0,0.0,0.0,0.1885282804455616,0.025419901709992136,0.21414696758689333,0,21720.0,0.0
2,50,100,0,52.0,0.0,0.0,0.19032390028274002,0.025964486287418657,0.2164706065488867,0,21720.0,0.0
2,50,100,0,54.0,0.0,0.0,0.18903359775913847,0.026526123212130437,0.21577507185522016,0,21720.0,0.0
2,50,100,0,56.0,0.0,0.0,0.18824765215553307,0.02569494272464002,0.21419107666934764,0,21720.0,0.0
2,50,100,0,58.0,0.0,0.0,0.18085638168389465,0.024914113004070607,0.20606867283497468,0,21720.0,0.0
2,50,100,0,60.0,0.0,0.0,0.1759571201619263,0.02478691941806899,0.201075348632228,0,21720.0,0.0
2,50,100,1,48.5,0.0,0.0,0.18361076970294873,0.02555124258537042,0.20954301769838676,0,21720.0,0.0
2,50,100,1,50.0,0.0,0.0,0.18873256458732596,0.025712892259824878,0.21485959316244174,0,21720.0,0.0
2,50,100,1,52.0,0.0,0.0,0.1900407425667355,0.02638550443005518,0.21689007966991652,0,21720.0,0.0
2,50,100,1,54.0,0.0,0.0,0.18890317655987704,0.026705624995891516,0.2161720269445642,0,21720.0,0.0
2,50,100,1,56.0,0.0,0.0,0.18807072217718193,0.02527741702696761,0.21402732276122663,0,21720.0,0.0
2,50,100,1,58.0,0.0,0.0,0.18084726457729894,0.024323828495672155,0.205949669345718,0,21720.0,0.0
2,50,100,1,60.0,0.0,0.0,0.1759810057943163,0.024709797354327396,0.2015190757792255,0,21720.0,0.0
1,110,110,0,48.5,0.0,0.0,0.15941884086723698,0.1352978128301338,0.3557302040809302,0,21720.0,0.0
1,110,110,0,50.0,0.0,0.0,0.16452131667680367,0.13955710818240835,0.3648583903212074,0,21720.0,0.0
1,110,110,0,52.0,0.0,0.0,0.16315860790115203,0.1405068669383717,0.3674169339888018,0,21720.0,0.0
1,110,110,0,54.0,0.0,0.0,0.1609972264048909,0.13822176243672685,0.36365516102622525,0,21720.0,0.0
1,110,110,0,56.0,0.0,0.0,0.15817451894584716,0.1356935876233638,0.35412991231853563,0,21720.0,0.0
1,110,110,0,58.0,0.0,0.0,0.14917786942230665,0.12663926698224678,0.3324737077252612,0,21720.0,0.0
1,110,110,0,60.0,0.0,0.0,0.1421621082466085,0.12099260301923564,0.3175577062051948,0,21720.0,0.0
2,55,110,0,48.5,0.0,0.0,0.18775851624144776,0.04062287319420929,0.22914340025579233,0,21720.0,0.0
2,55,110,0,50.0,0.0,0.0,0.19353367206912292,0.04020020785668059,0.2345621525563853,0,21720.0,0.0
2,55,110,0,52.0,0.0,0.0,0.1948504821341722,0.04249476877503296,0.23822321989762185,0,21720.0,0.0
2,55,110,0,54.0,0.0,0.0,0.19393448033338112,0.04337642612314144,0.2382385718027742,0,21720.0,0.0
2,55,110,0,56.0,0.0,0.0,0.1927671414885697,0.0416008478588355,0.2354116128619383,0,21720.0,0.0
2,55,110,0,58.0,0.0,0.0,0.18530855056370102,0.040392801133484944,0.22684436792738885,0,21720.0,0.0
2,55,110,0,60.0,0.0,0.0,0.18054877183691728,0.03968245115439331,0.22152307831479362,0,21720.0,0.0
