candidate,S,scenario,replicate,seed,C1,C2,c_min,max_gap_s,avg_multiplicity,strict_double_time_rate
single_S1302,1302,monte_carlo,0,20260712,1.0,0.6750917079384017,1,0.0,2.4205111571076956,0.0
single_S1302,1302,monte_carlo,1,20260712,1.0,0.7387869985537829,1,0.0,2.3818472625646208,0.0
single_S1302,1302,monte_carlo,2,20260712,1.0,0.7574479112947139,1,0.0,2.374092313078695,0.0
double_S1480,1480,monte_carlo,0,20260713,1.0,0.9419873031398757,1,0.0,2.6882799267929234,0.0
double_S1480,1480,monte_carlo,1,20260713,1.0,0.9762844320541629,1,0.0,2.8486918304204383,0.3333333333333333
double_S1480,1480,monte_carlo,2,20260713,1.0000000000000002,0.9756048076017675,1,0.0,2.8820929292911277,0.6666666666666666
